PMTID_sim Type X Y Z Theta Phi PMTID RelativeDEV Gain TimeOffset DarkRateV MeanGain
184 HighQENNVT -2784.4956 2917.927 19010.8559 11.9782 133.6596 327320064 0.239315 0.958543 10.8081 3606.58 1.1146
185 HighQENNVT -3193.0014 2464.2354 19010.8559 11.9782 142.3404 327324160 0.249241 0.976953 12.4711 17085.5 1.09955
186 HighQENNVT -3492.9623 2016.6627 19010.8559 11.9782 150.0 327328256 0.251041 0.978788 7.27609 19789.7 1.10035
187 HighQENNVT -3730.5911 1533.1026 19010.8559 11.9782 157.6596 327332352 0.243974 0.953476 11.8831 14939.4 1.12593
188 HighQENNVT -3919.2467 952.4803 19010.8559 11.9782 166.3404 327336448 0.243744 0.981933 11.6381 13405.2 1.09677
189 HighQENNVT -4011.2304 421.5973 19010.8559 11.9782 174.0 327340544 0.246601 0.987668 19.1231 14010.1 1.11282
190 HighQENNVT -4535.1524 -404.2998 18893.1017 13.5496 -174.9057 326111744 0.244192 0.966332 10.8541 16274.9 1.10978
191 Hamamatsu -4455.5028 -937.8489 18893.1017 13.5496 -168.1132 326115584 0.245495 0.971646 -34.6859 6610.86 1.01747
192 HighQENNVT -4313.3077 -1458.2325 18893.1017 13.5496 -161.3208 326119936 0.273801 0.970181 12.0181 17087.7 1.10062
193 HighQENNVT -4110.5632 -1958.1459 18893.1017 13.5496 -154.5283 326124032 0.255828 0.965511 14.9221 16096.6 1.10094
194 HighQENNVT -3850.1154 -2430.5714 18893.1017 13.5496 -147.7359 326128128 0.247141 0.989406 7.33408 14814.1 1.10887
195 HighQENNVT -3535.6205 -2868.8767 18893.1017 13.5496 -140.9434 326132224 0.280661 0.979307 10.5501 14492.6 1.11281
196 HighQENNVT -3171.4932 -3266.9093 18893.1017 13.5496 -134.1509 326136320 0.268728 0.970337 9.21707 19576.1 1.0971
197 HighQENNVT -2762.8448 -3619.082 18893.1017 13.5496 -127.3585 326140416 0.253975 0.962997 12.4731 16587.4 1.10596
198 Hamamatsu -2315.4124 -3920.4503 18893.1017 13.5496 -120.566 326144256 0.230258 0.985041 -34.2389 5896.35 1.01461
199 HighQENNVT -1835.4767 -4166.7842 18893.1017 13.5496 -113.7736 326148608 0.258846 0.960574 6.35809 15146.9 1.1123
200 Hamamatsu -1329.7748 -4354.6256 18893.1017 13.5496 -106.9811 326152448 0.239713 0.961584 -29.9669 6616.9 1.01324
201 HighQENNVT -805.4059 -4481.3376 18893.1017 13.5496 -100.1887 326156800 0.251938 0.969944 8.01508 18696.6 1.10122
202 HighQENNVT -269.7306 -4545.1415 18893.1017 13.5496 -93.3962 326160896 0.26384 0.969863 14.7421 14548.8 1.1127
